x,y,z,time,fragment_id
-1.1449,3.4308,9.3053,1604541427935,166
-0.6699,2.9586,9.3312,1604541427955,166
-1.9083,3.119,9.6927,1604541428116,166
-1.3359,3.5103,9.7864,1604541428136,166
-1.4446,3.4152,9.2238,1604541428155,166
-1.0404,3.3173,9.7148,1604541428175,166
-0.8642,3.2672,9.9681,1604541428415,166
-0.7371,3.1299,9.8608,1604541428435,166
-0.287,2.9153,9.3526,1604541428455,166
-1.1636,3.1844,9.4228,1604541428716,166
-0.9832,3.6437,9.1632,1604541428735,166
-0.9254,3.4303,9.1166,1604541428755,166
-2.8397,4.2581,8.3535,1604541428915,166
-2.2125,4.158,8.3927,1604541428936,166
-1.8133,3.6435,8.721,1604541428956,166
-1.235,2.8458,9.5679,1604541429235,166
-0.6429,3.0134,9.0205,1604541429256,166
-0.9163,3.1139,9.8882,1604541429275,166
-0.4662,3.0487,8.8852,1604541429515,166
-0.6436,3.1005,9.0508,1604541429535,166
-0.481,3.0077,9.0746,1604541429555,166
0.1129,2.4934,9.461,1604541429575,166
1.1201,3.9587,8.7695,1604637677782,167
0.9842,3.9267,8.9249,1604637677801,167
0.9888,3.9959,9.272,1604637677821,167
1.0302,3.8356,9.1993,1604637677842,167
-0.1347,4.0254,9.8492,1604637678082,167
0.5406,3.2795,8.7076,1604637678441,167
0.462,3.2709,9.2747,1604637678461,167
0.5685,3.2171,9.7733,1604637678482,167
0.8939,3.1442,9.3256,1604637678502,167
-0.1568,3.2251,9.4706,1604637678581,167
0.0165,3.5965,9.6304,1604637678602,167
-0.0101,3.3779,9.8364,1604637678622,167
0.1882,3.2569,9.7935,1604637678822,167
0.2092,3.0291,9.585,1604637678842,167
0.2274,3.1467,9.4706,1604637678862,167
-0.2765,3.6877,9.5885,1604637679042,167
0.1157,3.7746,9.342,1604637679061,167
-1.2064,4.5388,10.0989,1604637679222,167
-0.1732,3.6743,10.0166,1604637679242,167
0.3539,3.1847,9.2112,1604637679482,167
0.7214,3.1726,9.331,1604637679501,167
0.4915,3.2106,10.0518,1604637679522,167
0.1864,3.2916,8.6939,1604637679662,167
0.7334,2.9806,9.5359,1604637679681,167
0.8413,2.7623,9.669,1604637679702,167
0.9602,2.4784,9.4288,1604637679722,167
0.9748,3.9555,8.6143,1604637818242,168
0.8796,3.7092,8.9692,1604637818262,168
0.9092,3.7826,8.8821,1604637818282,168
0.9987,3.7841,8.8572,1604637818301,168
-0.6531,4.1558,8.9842,1604637818542,168
-0.3449,4.0528,9.4657,1604637818561,168
-0.0423,4.0812,9.8727,1604637818581,168
0.4852,3.4249,8.9759,1604637818921,168
0.272,3.5679,9.0759,1604637818942,168
0.2241,3.1456,9.1858,1604637819102,168
0.2671,3.7859,8.9858,1604637819121,168
0.1946,3.4511,9.9166,1604637819141,168
0.3668,3.2641,10.5268,1604637819161,168
0.5757,3.3762,9.4838,1604637819302,168
0.2277,3.4429,9.4102,1604637819321,168
0.332,3.355,9.8703,1604637819342,168
0.6364,3.1307,9.3957,1604637819361,168
-0.0483,3.5249,9.4626,1604637819582,168
0.3204,3.6878,9.5,1604637819601,168
-0.3034,3.5554,9.3939,1604637819762,168
-0.0608,3.7688,10.0466,1604637819782,168
0.2619,3.5277,9.8428,1604637819802,168
0.8751,2.8493,9.4507,1604637820042,168
0.9044,2.99,9.6667,1604637820062,168
0.6492,3.2361,10.4151,1604637820081,168
0.638,2.9166,8.5973,1604637820182,168
0.6374,3.0254,9.1629,1604637820201,168
0.722,3.2189,9.5107,1604637820222,168
0.7782,2.9349,9.3423,1604637820242,168
1.0493,2.9068,9.0192,1604637820261,168
1.3101,2.1621,8.944,1604480824737,169
1.3825,2.0629,9.2947,1604480824758,169
1.481,2.1303,9.2947,1604480824778,169
-1.6055,3.2161,9.5905,1604480825138,169
-1.5187,3.5284,9.99,1604480825158,169
